ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1785251880,2026-07-28,1,35.78333333333333,0.5912031047865459,2.8436736311850046,CLEAN-TREND,US,114.25,53.675,107.35,27913.0,28020.35,107.35,213.2,TARGET,24.4,155.75,0.459653647752395,0.15846601838511754
1785261600,2026-07-28,1,19.716666666666665,0.2437223042836041,2.0564555314586555,BUILDING,US,41.25,29.575,59.14999999999999,27991.0,27961.0,-30.0,-61.5,STOP,1.0,8.25,0.5063,-0.0458448485896844
1785268440,2026-07-28,1,15.4,0.3460620525059666,4.067845156373374,BUILDING,US,36.25,23.1,46.2,27983.25,27959.75,-23.5,-48.5,STOP,0.0,8.5,0.4930564243713249,0.006157476666636393
1785277080,2026-07-28,-1,12.933333333333334,0.6222760290556901,-3.415791233073781,CLEAN-TREND,OVERNIGHT,-64.25,19.4,38.8,27929.75,27890.95,38.8,76.1,TARGET,13.3,198.25,0.43226898887276244,0.09116378671233082
1785278280,2026-07-28,-1,16.116666666666667,0.2962226640159046,-5.253029661812014,BUILDING,OVERNIGHT,-37.25,24.175,48.35,27877.75,27829.4,48.35,95.2,TARGET,7.9,146.25,0.47664862697935456,0.0866815840395018
1785279540,2026-07-28,-1,20.23333333333333,0.6122448979591837,-2.116715616254305,CLEAN-TREND,OVERNIGHT,-105.0,30.349999999999994,60.69999999999999,27757.5,27788.25,-30.75,-63.0,STOP,5.1,26.0,0.4807979120059657,0.07395012750654369
1785286680,2026-07-29,-1,20.6,0.3821656050955414,-3.068653085662034,BUILDING,OVERNIGHT,-60.0,30.9,61.8,28011.75,27949.95,61.8,122.1,TARGET,12.1,226.5,0.48722316865417375,0.021728129435574582
1785289860,2026-07-29,-1,22.116666666666667,0.5868945868945868,-2.093390911495988,CLEAN-TREND,OVERNIGHT,-103.0,33.175,66.35,27839.5,27773.15,66.35,131.2,TARGET,8.3,69.5,0.4791712104689204,0.09007301665860555
1785297060,2026-07-29,-1,17.1,0.4188562596599691,-6.380751840239307,CLEAN-TREND,OVERNIGHT,-67.75,25.65,51.3,27722.0,27670.7,51.3,101.1,TARGET,23.8,81.5,0.46591251885369533,0.02036723201199627
1785301620,2026-07-29,1,21.816666666666663,0.4894217207334274,2.275359085630754,CLEAN-TREND,OVERNIGHT,86.75,32.724999999999994,65.44999999999999,27806.0,27773.0,-33.0,-67.5,STOP,12.3,48.75,0.4685732751656164,0.05544528564993841
1785303360,2026-07-29,1,18.866666666666667,0.4904458598726114,2.051981724509214,CLEAN-TREND,OVERNIGHT,57.75,28.3,56.6,27841.0,27812.25,-28.75,-59.0,STOP,15.0,46.25,0.4744363289933312,0.0166258400659322
1785321420,2026-07-29,-1,13.133333333333333,0.4334975369458128,-2.227007168797229,CLEAN-TREND,PRE-OPEN,-44.0,19.7,39.4,27969.5,27930.1,39.4,77.3,TARGET,28.6,41.0,0.5126332412159494,-0.09229429730544092
1785327240,2026-07-29,-1,15.533333333333331,0.4517958412098298,-5.124923507024557,CLEAN-TREND,PRE-OPEN,-59.75,23.3,46.6,27940.75,27894.15,46.6,91.7,TARGET,1.5,96.0,0.44448640483383683,0.11355927433878393
1785331980,2026-07-29,1,33.38333333333333,0.3085566119273984,3.75110650761116,BUILDING,US,89.25,50.075,100.15,27960.25,27909.75,-50.5,-102.5,STOP,3.1,36.75,0.48934089575591627,0.013300976215370415
1785332820,2026-07-29,-1,48.96666666666667,0.1956363636363636,-3.272656064263503,VIOLENT-WHIPSAW,US,-67.25,73.45,146.9,27835.5,27688.6,146.9,292.3,TARGET,8.7,325.5,0.5109652394450246,-0.02502062462353339
1785335040,2026-07-29,-1,37.083333333333336,0.3823008849557522,-4.148841647995558,BUILDING,US,-108.0,55.625,111.25,27620.5,27603.5,17.0,32.5,TIME,60.0,110.5,0.48054449723898807,-0.014022909077352983
1785340440,2026-07-29,-1,24.08333333333333,0.2507204610951009,-4.5172606417350485,BUILDING,US,-43.5,36.12499999999999,72.24999999999999,27494.5,27531.0,-36.5,-74.5,STOP,5.1,85.5,0.483065953654189,0.048066629900955365
1785342180,2026-07-29,1,22.4,0.315112540192926,4.60504308904729,BUILDING,US,49.0,33.599999999999994,67.19999999999999,27512.0,27579.2,67.2,132.9,TARGET,6.6,237.75,0.4655106464363126,0.09191604491433504
1785348000,2026-07-29,1,25.916666666666668,0.7214700193423598,6.174411546120006,CLEAN-TREND,US,186.5,38.875,77.75,27850.75,27811.0,-39.75,-81.0,STOP,0.5,246.25,0.5648745519713262,-0.07933305563500466
1785350400,2026-07-29,1,45.45,0.5697569756975698,3.23787240536577,CLEAN-TREND,US,158.25,68.17500000000001,136.35000000000002,27905.75,28042.1,136.35,271.2,TARGET,6.7,194.0,0.5284693656635635,-0.08464512769826284
1785352860,2026-07-29,-1,47.333333333333336,0.5986301369863014,-8.0401566359331,CLEAN-TREND,US,-218.5,71.0,142.0,27738.25,27596.25,142.0,282.5,TARGET,11.9,538.25,0.5039099752050353,0.004666889376906725
1785354720,2026-07-29,-1,43.93333333333333,0.5626072041166381,-3.002964565079828,CLEAN-TREND,US,-164.0,65.89999999999999,131.79999999999998,27414.75,27282.95,131.8,262.1,TARGET,7.7,214.75,0.4958325615854788,0.032831713272176544
1785366240,2026-07-29,1,13.233333333333333,0.4691358024691358,3.991716557332828,CLEAN-TREND,OVERNIGHT,38.0,19.85,39.7,27479.5,27519.2,39.7,77.9,TARGET,3.9,79.75,0.43333333333333335,0.15123975456355881
1785369960,2026-07-30,1,29.83333333333333,0.279395900755124,2.2668689138998026,BUILDING,OVERNIGHT,64.75,44.74999999999999,89.49999999999999,27575.0,27530.0,-45.0,-91.5,STOP,31.4,58.5,0.4700944386149003,0.06860594973155683
